,Saldo Líquido,Número de entradas,Taxa de acerto,Payoff,Média de lucro por operação,Desvio padrão
0,834.08,162.0,0.59,1.32,5.15,37.56
1,1654.08,162.0,0.68,1.76,10.21,40.82
2,1499.08,162.0,0.68,1.65,9.25,44.6
3,739.08,162.0,0.48,1.23,4.56,50.62
4,1469.08,162.0,0.56,1.51,9.07,55.56
5,1319.08,162.0,0.56,1.43,8.14,58.38
6,264.08,162.0,0.47,1.08,1.63,48.74
7,819.08,162.0,0.55,1.27,5.06,53.57
8,669.08,162.0,0.55,1.21,4.13,56.43
9,754.08,162.0,0.58,1.29,4.65,37.66
10,1509.08,162.0,0.67,1.66,9.32,41.72
11,1494.08,162.0,0.68,1.64,9.22,44.6
12,624.08,162.0,0.47,1.2,3.85,50.55
13,1174.08,162.0,0.55,1.39,7.25,55.9
14,1124.08,162.0,0.55,1.36,6.94,58.05
15,114.08,162.0,0.46,1.04,0.7,48.01
16,519.08,162.0,0.54,1.17,3.2,53.51
17,469.08,162.0,0.54,1.15,2.9,55.73
18,834.08,162.0,0.59,1.32,5.15,37.56
19,1654.08,162.0,0.68,1.76,10.21,40.82
20,1499.08,162.0,0.68,1.65,9.25,44.6
21,739.08,162.0,0.48,1.23,4.56,50.62
22,1374.08,162.0,0.56,1.47,8.48,55.55
23,1224.08,162.0,0.56,1.4,7.56,58.36
24,264.08,162.0,0.47,1.08,1.63,48.74
25,724.08,162.0,0.54,1.24,4.47,53.52
26,574.08,162.0,0.54,1.18,3.54,56.36
27,754.08,162.0,0.58,1.29,4.65,37.66
28,1509.08,162.0,0.67,1.66,9.32,41.72
29,1494.08,162.0,0.68,1.64,9.22,44.6
30,624.08,162.0,0.47,1.2,3.85,50.55
31,1174.08,162.0,0.55,1.39,7.25,55.9
32,1124.08,162.0,0.55,1.36,6.94,58.05
33,114.08,162.0,0.46,1.04,0.7,48.01
34,519.08,162.0,0.54,1.17,3.2,53.51
35,469.08,162.0,0.54,1.15,2.9,55.73
36,754.08,162.0,0.58,1.29,4.65,37.66
37,1509.08,162.0,0.67,1.66,9.32,41.72
38,1494.08,162.0,0.68,1.64,9.22,44.6
39,659.08,162.0,0.47,1.21,4.07,50.69
40,1209.08,162.0,0.55,1.4,7.46,56.01
41,1159.08,162.0,0.55,1.38,7.15,58.15
42,184.08,162.0,0.46,1.06,1.14,48.78
43,589.08,162.0,0.54,1.19,3.64,54.19
44,539.08,162.0,0.54,1.17,3.33,56.38
45,754.08,162.0,0.58,1.29,4.65,37.66
46,1509.08,162.0,0.67,1.66,9.32,41.72
47,1494.08,162.0,0.68,1.64,9.22,44.6
48,624.08,162.0,0.47,1.2,3.85,50.55
49,1174.08,162.0,0.55,1.39,7.25,55.9
50,1124.08,162.0,0.55,1.36,6.94,58.05
51,114.08,162.0,0.46,1.04,0.7,48.01
52,519.08,162.0,0.54,1.17,3.2,53.51
53,469.08,162.0,0.54,1.15,2.9,55.73
54,984.2,130.0,0.62,1.52,7.57,37.2
55,1584.2,130.0,0.73,1.92,12.19,42.44
56,1454.2,130.0,0.73,1.79,11.19,46.85
57,389.2,130.0,0.46,1.15,2.99,50.34
58,959.2,130.0,0.57,1.38,7.38,57.82
59,794.2,130.0,0.57,1.29,6.11,61.58
60,-40.8,130.0,0.45,0.98,-0.31,47.83
61,349.2,130.0,0.55,1.13,2.69,55.55
62,184.2,130.0,0.55,1.07,1.42,59.35
63,754.08,162.0,0.58,1.29,4.65,37.66
64,1509.08,162.0,0.67,1.66,9.32,41.72
65,1494.08,162.0,0.68,1.64,9.22,44.6
66,624.08,162.0,0.47,1.2,3.85,50.55
67,1174.08,162.0,0.55,1.39,7.25,55.9
68,1124.08,162.0,0.55,1.36,6.94,58.05
69,114.08,162.0,0.46,1.04,0.7,48.01
70,519.08,162.0,0.54,1.17,3.2,53.51
71,469.08,162.0,0.54,1.15,2.9,55.73
72,806.54,131.0,0.6,1.4,6.16,37.6
73,1411.54,131.0,0.7,1.77,10.78,43.5
74,1291.54,131.0,0.7,1.66,9.86,47.58
75,351.54,131.0,0.45,1.13,2.68,50.24
76,821.54,131.0,0.54,1.31,6.27,57.78
77,666.54,131.0,0.54,1.24,5.09,61.36
78,-68.46,131.0,0.44,0.97,-0.52,47.87
79,261.54,131.0,0.53,1.1,2.0,55.4
80,106.54,131.0,0.53,1.04,0.81,59.04
81,754.08,162.0,0.58,1.29,4.65,37.66
82,1509.08,162.0,0.67,1.66,9.32,41.72
83,1494.08,162.0,0.68,1.64,9.22,44.6
84,624.08,162.0,0.47,1.2,3.85,50.55
85,1174.08,162.0,0.55,1.39,7.25,55.9
86,1124.08,162.0,0.55,1.36,6.94,58.05
87,114.08,162.0,0.46,1.04,0.7,48.01
88,519.08,162.0,0.54,1.17,3.2,53.51
89,469.08,162.0,0.54,1.15,2.9,55.73
90,523.88,132.0,0.57,1.24,3.97,38.06
91,1233.88,132.0,0.68,1.63,9.35,43.82
92,1113.88,132.0,0.68,1.54,8.44,47.82
93,68.88,132.0,0.43,1.02,0.52,49.86
94,638.88,132.0,0.53,1.24,4.84,57.48
95,483.88,132.0,0.53,1.17,3.67,61.02
96,-396.12,132.0,0.42,0.86,-3.0,46.56
97,38.88,132.0,0.52,1.01,0.29,54.4
98,-116.12,132.0,0.52,0.96,-0.88,58.04
99,754.08,162.0,0.58,1.29,4.65,37.66
100,1509.08,162.0,0.67,1.66,9.32,41.72
101,1494.08,162.0,0.68,1.64,9.22,44.6
102,624.08,162.0,0.47,1.2,3.85,50.55
103,1174.08,162.0,0.55,1.39,7.25,55.9
104,1124.08,162.0,0.55,1.36,6.94,58.05
105,114.08,162.0,0.46,1.04,0.7,48.01
106,519.08,162.0,0.54,1.17,3.2,53.51
107,469.08,162.0,0.54,1.15,2.9,55.73
108,-573.1,35.0,0.31,0.38,-16.37,35.05
109,-1313.1,35.0,0.37,0.24,-37.52,62.63
110,-1773.1,35.0,0.37,0.19,-50.66,81.71
111,-668.1,35.0,0.23,0.32,-19.09,38.76
112,-1413.1,35.0,0.26,0.2,-40.37,63.04
113,-1873.1,35.0,0.26,0.16,-53.52,81.55
114,-693.1,35.0,0.23,0.29,-19.8,36.73
115,-1438.1,35.0,0.26,0.18,-41.09,61.56
116,-1898.1,35.0,0.26,0.15,-54.23,80.29
117,754.08,162.0,0.58,1.29,4.65,37.66
118,1509.08,162.0,0.67,1.66,9.32,41.72
119,1494.08,162.0,0.68,1.64,9.22,44.6
120,624.08,162.0,0.47,1.2,3.85,50.55
121,1174.08,162.0,0.55,1.39,7.25,55.9
122,1124.08,162.0,0.55,1.36,6.94,58.05
123,114.08,162.0,0.46,1.04,0.7,48.01
124,519.08,162.0,0.54,1.17,3.2,53.51
125,469.08,162.0,0.54,1.15,2.9,55.73
126,-564.48,28.0,0.25,0.29,-20.16,33.43
127,-1229.48,28.0,0.32,0.2,-43.91,63.43
128,-1674.48,28.0,0.32,0.15,-59.8,83.18
129,-644.48,28.0,0.18,0.21,-23.02,33.75
130,-1324.48,28.0,0.25,0.15,-47.3,61.79
131,-1769.48,28.0,0.25,0.11,-63.2,81.26
132,-689.48,28.0,0.18,0.15,-24.62,28.46
133,-1369.48,28.0,0.25,0.12,-48.91,58.38
134,-1814.48,28.0,0.25,0.09,-64.8,78.36
135,754.08,162.0,0.58,1.29,4.65,37.66
136,1509.08,162.0,0.67,1.66,9.32,41.72
137,1494.08,162.0,0.68,1.64,9.22,44.6
138,624.08,162.0,0.47,1.2,3.85,50.55
139,1174.08,162.0,0.55,1.39,7.25,55.9
140,1124.08,162.0,0.55,1.36,6.94,58.05
141,114.08,162.0,0.46,1.04,0.7,48.01
142,519.08,162.0,0.54,1.17,3.2,53.51
143,469.08,162.0,0.54,1.15,2.9,55.73
144,-436.5,25.0,0.28,0.35,-17.46,34.44
145,-1061.5,25.0,0.32,0.2,-42.46,62.94
146,-1421.5,25.0,0.32,0.16,-56.86,80.92
147,-536.5,25.0,0.2,0.21,-21.46,33.49
148,-1176.5,25.0,0.24,0.13,-47.06,59.94
149,-1536.5,25.0,0.24,0.1,-61.46,77.72
150,-581.5,25.0,0.2,0.15,-23.26,27.51
151,-1221.5,25.0,0.24,0.09,-48.86,55.96
152,-1581.5,25.0,0.24,0.07,-63.26,74.33
153,754.08,162.0,0.58,1.29,4.65,37.66
154,1509.08,162.0,0.67,1.66,9.32,41.72
155,1494.08,162.0,0.68,1.64,9.22,44.6
156,624.08,162.0,0.47,1.2,3.85,50.55
157,1174.08,162.0,0.55,1.39,7.25,55.9
158,1124.08,162.0,0.55,1.36,6.94,58.05
159,114.08,162.0,0.46,1.04,0.7,48.01
160,519.08,162.0,0.54,1.17,3.2,53.51
161,469.08,162.0,0.54,1.15,2.9,55.73
162,674.08,162.0,0.58,1.24,4.16,38.83
163,1944.08,162.0,0.75,1.82,12.0,45.99
164,1694.08,162.0,0.75,1.65,10.46,52.4
165,199.08,162.0,0.4,1.05,1.23,55.18
166,1599.08,162.0,0.57,1.45,9.87,66.0
167,1224.08,162.0,0.57,1.31,7.56,72.35
168,184.08,162.0,0.39,1.05,1.14,61.4
169,1444.08,162.0,0.56,1.4,8.91,71.54
170,1039.08,162.0,0.56,1.26,6.41,77.72
171,594.08,162.0,0.57,1.21,3.67,38.92
172,1804.08,162.0,0.74,1.73,11.14,46.82
173,1694.08,162.0,0.75,1.65,10.46,52.4
174,149.08,162.0,0.4,1.04,0.92,55.32
175,1434.08,162.0,0.56,1.39,8.85,66.29
176,1184.08,162.0,0.57,1.3,7.31,72.09
177,109.08,162.0,0.38,1.03,0.67,61.25
178,1274.08,162.0,0.55,1.34,7.86,71.75
179,994.08,162.0,0.56,1.25,6.14,77.42
180,674.08,162.0,0.58,1.24,4.16,38.83
181,1944.08,162.0,0.75,1.82,12.0,45.99
182,1694.08,162.0,0.75,1.65,10.46,52.4
183,204.08,162.0,0.4,1.05,1.26,55.21
184,1604.08,162.0,0.57,1.45,9.9,66.02
185,1229.08,162.0,0.57,1.31,7.59,72.38
186,189.08,162.0,0.39,1.05,1.17,61.43
187,1424.08,162.0,0.56,1.39,8.79,71.47
188,1019.08,162.0,0.56,1.25,6.29,77.64
189,594.08,162.0,0.57,1.21,3.67,38.92
190,1804.08,162.0,0.74,1.73,11.14,46.82
191,1694.08,162.0,0.75,1.65,10.46,52.4
192,149.08,162.0,0.4,1.04,0.92,55.32
193,1434.08,162.0,0.56,1.39,8.85,66.29
194,1184.08,162.0,0.57,1.3,7.31,72.09
195,109.08,162.0,0.38,1.03,0.67,61.25
196,1274.08,162.0,0.55,1.34,7.86,71.75
197,994.08,162.0,0.56,1.25,6.14,77.42
198,594.08,162.0,0.57,1.21,3.67,38.92
199,1804.08,162.0,0.74,1.73,11.14,46.82
200,1694.08,162.0,0.75,1.65,10.46,52.4
201,149.08,162.0,0.4,1.04,0.92,55.32
202,1434.08,162.0,0.56,1.39,8.85,66.29
203,1184.08,162.0,0.57,1.3,7.31,72.09
204,109.08,162.0,0.38,1.03,0.67,61.25
205,1274.08,162.0,0.55,1.34,7.86,71.75
206,994.08,162.0,0.56,1.25,6.14,77.42
207,594.08,162.0,0.57,1.21,3.67,38.92
208,1804.08,162.0,0.74,1.73,11.14,46.82
209,1694.08,162.0,0.75,1.65,10.46,52.4
210,149.08,162.0,0.4,1.04,0.92,55.32
211,1434.08,162.0,0.56,1.39,8.85,66.29
212,1184.08,162.0,0.57,1.3,7.31,72.09
213,109.08,162.0,0.38,1.03,0.67,61.25
214,1274.08,162.0,0.55,1.34,7.86,71.75
215,994.08,162.0,0.56,1.25,6.14,77.42
216,919.2,130.0,0.62,1.45,7.07,38.36
217,1909.2,130.0,0.78,2.05,14.69,45.72
218,1864.2,130.0,0.79,1.98,14.34,51.15
219,399.2,130.0,0.4,1.13,3.07,56.05
220,1379.2,130.0,0.55,1.44,10.61,69.31
221,1434.2,130.0,0.56,1.46,11.03,72.8
222,-60.8,130.0,0.38,0.98,-0.47,56.43
223,694.2,130.0,0.52,1.21,5.34,70.1
224,844.2,130.0,0.53,1.27,6.49,72.97
225,594.08,162.0,0.57,1.21,3.67,38.92
226,1804.08,162.0,0.74,1.73,11.14,46.82
227,1694.08,162.0,0.75,1.65,10.46,52.4
228,149.08,162.0,0.4,1.04,0.92,55.32
229,1434.08,162.0,0.56,1.39,8.85,66.29
230,1184.08,162.0,0.57,1.3,7.31,72.09
231,109.08,162.0,0.38,1.03,0.67,61.25
232,1274.08,162.0,0.55,1.34,7.86,71.75
233,994.08,162.0,0.56,1.25,6.14,77.42
234,731.54,131.0,0.6,1.34,5.58,38.69
235,1666.54,131.0,0.76,1.84,12.72,47.43
236,1686.54,131.0,0.77,1.84,12.87,51.89
237,286.54,131.0,0.4,1.09,2.19,55.45
238,1266.54,131.0,0.56,1.4,9.67,68.88
239,1386.54,131.0,0.56,1.45,10.58,71.86
240,-148.46,131.0,0.37,0.95,-1.13,55.99
241,626.54,131.0,0.53,1.19,4.78,69.95
242,686.54,131.0,0.53,1.21,5.24,73.81
243,594.08,162.0,0.57,1.21,3.67,38.92
244,1804.08,162.0,0.74,1.73,11.14,46.82
245,1694.08,162.0,0.75,1.65,10.46,52.4
246,149.08,162.0,0.4,1.04,0.92,55.32
247,1434.08,162.0,0.56,1.39,8.85,66.29
248,1184.08,162.0,0.57,1.3,7.31,72.09
249,109.08,162.0,0.38,1.03,0.67,61.25
250,1274.08,162.0,0.55,1.34,7.86,71.75
251,994.08,162.0,0.56,1.25,6.14,77.42
252,448.88,132.0,0.57,1.19,3.4,39.1
253,1473.88,132.0,0.74,1.7,11.17,48.26
254,1568.88,132.0,0.75,1.77,11.89,51.78
255,-11.12,132.0,0.39,1.0,-0.08,54.47
256,1113.88,132.0,0.55,1.36,8.44,67.89
257,1258.88,132.0,0.56,1.42,9.54,70.77
258,-391.12,132.0,0.37,0.88,-2.96,55.19
259,518.88,132.0,0.53,1.16,3.93,69.1
260,603.88,132.0,0.54,1.19,4.57,72.86
261,594.08,162.0,0.57,1.21,3.67,38.92
262,1804.08,162.0,0.74,1.73,11.14,46.82
263,1694.08,162.0,0.75,1.65,10.46,52.4
264,149.08,162.0,0.4,1.04,0.92,55.32
265,1434.08,162.0,0.56,1.39,8.85,66.29
266,1184.08,162.0,0.57,1.3,7.31,72.09
267,109.08,162.0,0.38,1.03,0.67,61.25
268,1274.08,162.0,0.55,1.34,7.86,71.75
269,994.08,162.0,0.56,1.25,6.14,77.42
270,-638.1,35.0,0.29,0.36,-18.23,35.62
271,-1348.1,35.0,0.34,0.24,-38.52,63.4
272,-2013.1,35.0,0.34,0.18,-57.52,88.05
273,-923.1,35.0,0.14,0.21,-26.37,36.25
274,-1638.1,35.0,0.17,0.14,-46.8,59.99
275,-2303.1,35.0,0.17,0.1,-65.8,83.71
276,-1043.1,35.0,0.14,0.1,-29.8,26.33
277,-1758.1,35.0,0.17,0.08,-50.23,53.24
278,-2423.1,35.0,0.17,0.06,-69.23,78.16
279,594.08,162.0,0.57,1.21,3.67,38.92
280,1804.08,162.0,0.74,1.73,11.14,46.82
281,1694.08,162.0,0.75,1.65,10.46,52.4
282,149.08,162.0,0.4,1.04,0.92,55.32
283,1434.08,162.0,0.56,1.39,8.85,66.29
284,1184.08,162.0,0.57,1.3,7.31,72.09
285,109.08,162.0,0.38,1.03,0.67,61.25
286,1274.08,162.0,0.55,1.34,7.86,71.75
287,994.08,162.0,0.56,1.25,6.14,77.42
288,-589.48,28.0,0.29,0.31,-21.05,35.04
289,-1174.48,28.0,0.36,0.22,-41.95,64.37
290,-1629.48,28.0,0.39,0.19,-58.2,91.06
291,-684.48,28.0,0.18,0.27,-24.45,40.17
292,-1399.48,28.0,0.18,0.15,-49.98,62.59
293,-1864.48,28.0,0.21,0.13,-66.59,87.87
294,-819.48,28.0,0.14,0.14,-29.27,28.51
295,-1534.48,28.0,0.14,0.08,-54.8,53.5
296,-1999.48,28.0,0.18,0.07,-71.41,80.62
297,594.08,162.0,0.57,1.21,3.67,38.92
298,1804.08,162.0,0.74,1.73,11.14,46.82
299,1694.08,162.0,0.75,1.65,10.46,52.4
300,149.08,162.0,0.4,1.04,0.92,55.32
301,1434.08,162.0,0.56,1.39,8.85,66.29
302,1184.08,162.0,0.57,1.3,7.31,72.09
303,109.08,162.0,0.38,1.03,0.67,61.25
304,1274.08,162.0,0.55,1.34,7.86,71.75
305,994.08,162.0,0.56,1.25,6.14,77.42
306,-461.5,25.0,0.32,0.36,-18.46,36.28
307,-1006.5,25.0,0.36,0.23,-40.26,63.95
308,-1356.5,25.0,0.4,0.19,-54.26,88.95
309,-586.5,25.0,0.16,0.29,-23.46,41.15
310,-1211.5,25.0,0.16,0.16,-48.46,63.03
311,-1561.5,25.0,0.2,0.14,-62.46,86.92
312,-721.5,25.0,0.12,0.13,-28.86,28.29
313,-1346.5,25.0,0.12,0.07,-53.86,52.9
314,-1696.5,25.0,0.16,0.07,-67.86,78.89
315,594.08,162.0,0.57,1.21,3.67,38.92
316,1804.08,162.0,0.74,1.73,11.14,46.82
317,1694.08,162.0,0.75,1.65,10.46,52.4
318,149.08,162.0,0.4,1.04,0.92,55.32
319,1434.08,162.0,0.56,1.39,8.85,66.29
320,1184.08,162.0,0.57,1.3,7.31,72.09
321,109.08,162.0,0.38,1.03,0.67,61.25
322,1274.08,162.0,0.55,1.34,7.86,71.75
323,994.08,162.0,0.56,1.25,6.14,77.42
324,594.08,162.0,0.57,1.21,3.67,39.08
325,2154.08,162.0,0.77,1.87,13.3,47.46
326,2169.08,162.0,0.78,1.85,13.39,52.92
327,-10.92,162.0,0.36,1.0,-0.07,58.71
328,1849.08,162.0,0.58,1.4,11.41,76.97
329,1889.08,162.0,0.6,1.39,11.66,83.52
330,-680.92,162.0,0.32,0.85,-4.2,62.57
331,849.08,162.0,0.54,1.17,5.24,82.12
332,744.08,162.0,0.56,1.14,4.59,88.78
333,514.08,162.0,0.56,1.18,3.17,39.16
334,2014.08,162.0,0.77,1.78,12.43,48.28
335,2169.08,162.0,0.78,1.85,13.39,52.92
336,-25.92,162.0,0.36,0.99,-0.16,58.63
337,1649.08,162.0,0.57,1.35,10.18,77.09
338,1889.08,162.0,0.6,1.4,11.66,83.43
339,-675.92,162.0,0.32,0.85,-4.17,62.62
340,624.08,162.0,0.53,1.12,3.85,81.97
341,744.08,162.0,0.56,1.14,4.59,88.72
342,594.08,162.0,0.57,1.21,3.67,39.08
343,2154.08,162.0,0.77,1.87,13.3,47.46
344,2169.08,162.0,0.78,1.85,13.39,52.92
345,-25.92,162.0,0.36,0.99,-0.16,58.63
346,1834.08,162.0,0.58,1.39,11.32,76.92
347,1874.08,162.0,0.6,1.39,11.57,83.48
348,-695.92,162.0,0.32,0.84,-4.3,62.49
349,819.08,162.0,0.54,1.16,5.06,82.06
350,714.08,162.0,0.56,1.14,4.41,88.72
351,514.08,162.0,0.56,1.18,3.17,39.16
352,2014.08,162.0,0.77,1.78,12.43,48.28
353,2169.08,162.0,0.78,1.85,13.39,52.92
354,-25.92,162.0,0.36,0.99,-0.16,58.63
355,1649.08,162.0,0.57,1.35,10.18,77.09
356,1889.08,162.0,0.6,1.4,11.66,83.43
357,-675.92,162.0,0.32,0.85,-4.17,62.62
358,624.08,162.0,0.53,1.12,3.85,81.97
359,744.08,162.0,0.56,1.14,4.59,88.72
360,514.08,162.0,0.56,1.18,3.17,39.16
361,2014.08,162.0,0.77,1.78,12.43,48.28
362,2169.08,162.0,0.78,1.85,13.39,52.92
363,-25.92,162.0,0.36,0.99,-0.16,58.63
364,1649.08,162.0,0.57,1.35,10.18,77.09
365,1889.08,162.0,0.6,1.4,11.66,83.43
366,-675.92,162.0,0.32,0.85,-4.17,62.62
367,624.08,162.0,0.53,1.12,3.85,81.97
368,744.08,162.0,0.56,1.14,4.59,88.72
369,514.08,162.0,0.56,1.18,3.17,39.16
370,2014.08,162.0,0.77,1.78,12.43,48.28
371,2169.08,162.0,0.78,1.85,13.39,52.92
372,-25.92,162.0,0.36,0.99,-0.16,58.63
373,1649.08,162.0,0.57,1.35,10.18,77.09
374,1889.08,162.0,0.6,1.4,11.66,83.43
375,-675.92,162.0,0.32,0.85,-4.17,62.62
376,624.08,162.0,0.53,1.12,3.85,81.97
377,744.08,162.0,0.56,1.14,4.59,88.72
378,904.2,130.0,0.62,1.43,6.96,38.72
379,1939.2,130.0,0.79,2.03,14.92,46.66
380,1954.2,130.0,0.8,2.03,15.03,51.56
381,229.2,130.0,0.37,1.07,1.76,60.13
382,1669.2,130.0,0.56,1.44,12.84,78.42
383,1744.2,130.0,0.58,1.46,13.42,84.16
384,-655.8,130.0,0.34,0.81,-5.04,58.61
385,459.2,130.0,0.52,1.12,3.53,79.49
386,639.2,130.0,0.55,1.16,4.92,84.56
387,514.08,162.0,0.56,1.18,3.17,39.16
388,2014.08,162.0,0.77,1.78,12.43,48.28
389,2169.08,162.0,0.78,1.85,13.39,52.92
390,-25.92,162.0,0.36,0.99,-0.16,58.63
391,1649.08,162.0,0.57,1.35,10.18,77.09
392,1889.08,162.0,0.6,1.4,11.66,83.43
393,-675.92,162.0,0.32,0.85,-4.17,62.62
394,624.08,162.0,0.53,1.12,3.85,81.97
395,744.08,162.0,0.56,1.14,4.59,88.72
396,711.54,131.0,0.6,1.32,5.43,39.03
397,1751.54,131.0,0.79,1.85,13.37,48.59
398,1846.54,131.0,0.8,1.9,14.1,53.61
399,56.54,131.0,0.36,1.02,0.43,59.52
400,1491.54,131.0,0.57,1.38,11.39,78.58
401,1776.54,131.0,0.6,1.47,13.56,83.06
402,-758.46,131.0,0.33,0.79,-5.79,58.44
403,296.54,131.0,0.53,1.07,2.26,79.73
404,501.54,131.0,0.56,1.12,3.83,84.98
405,514.08,162.0,0.56,1.18,3.17,39.16
406,2014.08,162.0,0.77,1.78,12.43,48.28
407,2169.08,162.0,0.78,1.85,13.39,52.92
408,-25.92,162.0,0.36,0.99,-0.16,58.63
409,1649.08,162.0,0.57,1.35,10.18,77.09
410,1889.08,162.0,0.6,1.4,11.66,83.43
411,-675.92,162.0,0.32,0.85,-4.17,62.62
412,624.08,162.0,0.53,1.12,3.85,81.97
413,744.08,162.0,0.56,1.14,4.59,88.72
414,428.88,132.0,0.57,1.18,3.25,39.43
415,1583.88,132.0,0.77,1.72,12.0,49.52
416,1768.88,132.0,0.79,1.85,13.4,53.54
417,-201.12,132.0,0.34,0.94,-1.52,58.83
418,1448.88,132.0,0.57,1.37,10.98,78.1
419,1838.88,132.0,0.59,1.5,13.93,81.82
420,-981.12,132.0,0.31,0.74,-7.43,57.81
421,303.88,132.0,0.53,1.07,2.3,79.41
422,613.88,132.0,0.55,1.15,4.65,83.98
423,514.08,162.0,0.56,1.18,3.17,39.16
424,2014.08,162.0,0.77,1.78,12.43,48.28
425,2169.08,162.0,0.78,1.85,13.39,52.92
426,-25.92,162.0,0.36,0.99,-0.16,58.63
427,1649.08,162.0,0.57,1.35,10.18,77.09
428,1889.08,162.0,0.6,1.4,11.66,83.43
429,-675.92,162.0,0.32,0.85,-4.17,62.62
430,624.08,162.0,0.53,1.12,3.85,81.97
431,744.08,162.0,0.56,1.14,4.59,88.72
432,-593.1,35.0,0.31,0.41,-16.95,37.44
433,-1353.1,35.0,0.43,0.28,-38.66,68.15
434,-1908.1,35.0,0.46,0.22,-54.52,91.84
435,-828.1,35.0,0.2,0.29,-23.66,41.79
436,-1713.1,35.0,0.29,0.22,-48.95,69.93
437,-2263.1,35.0,0.31,0.18,-64.66,91.29
438,-1013.1,35.0,0.17,0.14,-28.95,29.26
439,-1968.1,35.0,0.26,0.1,-56.23,56.93
440,-2518.1,35.0,0.29,0.08,-71.95,80.3
441,514.08,162.0,0.56,1.18,3.17,39.16
442,2014.08,162.0,0.77,1.78,12.43,48.28
443,2169.08,162.0,0.78,1.85,13.39,52.92
444,-25.92,162.0,0.36,0.99,-0.16,58.63
445,1649.08,162.0,0.57,1.35,10.18,77.09
446,1889.08,162.0,0.6,1.4,11.66,83.43
447,-675.92,162.0,0.32,0.85,-4.17,62.62
448,624.08,162.0,0.53,1.12,3.85,81.97
449,744.08,162.0,0.56,1.14,4.59,88.72
450,-554.48,28.0,0.29,0.35,-19.8,36.8
451,-1179.48,28.0,0.43,0.26,-42.12,68.8
452,-1584.48,28.0,0.46,0.23,-56.59,93.87
453,-599.48,28.0,0.21,0.36,-21.41,45.74
454,-1454.48,28.0,0.29,0.24,-51.95,74.83
455,-1884.48,28.0,0.29,0.19,-67.3,95.38
456,-759.48,28.0,0.18,0.2,-27.12,35.34
457,-1684.48,28.0,0.25,0.12,-60.16,61.37
458,-2114.48,28.0,0.25,0.1,-75.52,83.68
459,514.08,162.0,0.56,1.18,3.17,39.16
460,2014.08,162.0,0.77,1.78,12.43,48.28
461,2169.08,162.0,0.78,1.85,13.39,52.92
462,-25.92,162.0,0.36,0.99,-0.16,58.63
463,1649.08,162.0,0.57,1.35,10.18,77.09
464,1889.08,162.0,0.6,1.4,11.66,83.43
465,-675.92,162.0,0.32,0.85,-4.17,62.62
466,624.08,162.0,0.53,1.12,3.85,81.97
467,744.08,162.0,0.56,1.14,4.59,88.72
468,-426.5,25.0,0.32,0.41,-17.06,38.09
469,-1011.5,25.0,0.44,0.28,-40.46,68.95
470,-1351.5,25.0,0.44,0.22,-54.06,91.48
471,-521.5,25.0,0.2,0.39,-20.86,47.76
472,-1256.5,25.0,0.28,0.26,-50.26,77.04
473,-1561.5,25.0,0.28,0.22,-62.46,95.85
474,-681.5,25.0,0.16,0.21,-27.26,36.54
475,-1486.5,25.0,0.24,0.13,-59.46,62.41
476,-1791.5,25.0,0.24,0.11,-71.66,83.14
477,514.08,162.0,0.56,1.18,3.17,39.16
478,2014.08,162.0,0.77,1.78,12.43,48.28
479,2169.08,162.0,0.78,1.85,13.39,52.92
480,-25.92,162.0,0.36,0.99,-0.16,58.63
481,1649.08,162.0,0.57,1.35,10.18,77.09
482,1889.08,162.0,0.6,1.4,11.66,83.43
483,-675.92,162.0,0.32,0.85,-4.17,62.62
484,624.08,162.0,0.53,1.12,3.85,81.97
485,744.08,162.0,0.56,1.14,4.59,88.72
486,1055.58,137.0,0.62,1.54,7.7,36.9
487,1170.58,137.0,0.68,1.56,8.54,44.51
488,1185.58,137.0,0.69,1.56,8.65,47.08
489,1650.58,137.0,0.53,1.69,12.05,53.39
490,1695.58,137.0,0.58,1.64,12.38,61.15
491,1815.58,137.0,0.59,1.69,13.25,62.89
492,1385.58,137.0,0.53,1.57,10.11,54.34
493,1355.58,137.0,0.58,1.51,9.89,61.21
494,1445.58,137.0,0.58,1.54,10.55,62.73
495,1047.6,140.0,0.62,1.52,7.48,36.85
496,1102.6,140.0,0.68,1.5,7.88,45.1
497,1257.6,140.0,0.69,1.59,8.98,46.71
498,1192.6,140.0,0.51,1.46,8.52,52.9
499,1082.6,140.0,0.56,1.36,7.73,61.64
500,1387.6,140.0,0.56,1.5,9.91,62.01
501,952.6,140.0,0.5,1.36,6.8,53.71
502,797.6,140.0,0.55,1.26,5.7,61.79
503,1072.6,140.0,0.56,1.38,7.66,61.96
504,1040.58,137.0,0.62,1.53,7.6,36.83
505,1155.58,137.0,0.68,1.55,8.43,44.46
506,1170.58,137.0,0.69,1.55,8.54,47.03
507,1645.58,137.0,0.53,1.69,12.01,53.39
508,1595.58,137.0,0.58,1.59,11.65,61.17
509,1715.58,137.0,0.58,1.64,12.52,62.92
510,1380.58,137.0,0.53,1.57,10.08,54.33
511,1255.58,137.0,0.57,1.46,9.16,61.2
512,1345.58,137.0,0.58,1.5,9.82,62.73
513,1047.6,140.0,0.62,1.52,7.48,36.85
514,1102.6,140.0,0.68,1.5,7.88,45.1
515,1257.6,140.0,0.69,1.59,8.98,46.71
516,1192.6,140.0,0.51,1.46,8.52,52.9
